F13.41;SYND SEVRAGE DES SÉDATIFS  HYPNOT +DÉLIRIUM +CONVULSIONS
F13.5;TBL  MENT  DUS A SEDATIFS  HYPNOT    TBL  PSYCHOT 
F13.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX SÉDATIFS  HYPNOT
F13.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX SÉDATIFS  HYPNOT
F13.52;TBL PSYCHOT +HALLUCINATIONS DÛ AUX SÉDATIFS  HYPNOT
F13.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX SÉDATIFS  HYPNOT
F13.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX SÉDATIFS  HYPNOT
F13.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX SÉDATIFS  HYPNOT
F13.56;TBL PSYCHOT MIXTE DÛ AUX SÉDATIFS  HYPNOT
F13.6;TBL  MENT  DUS A SEDATIFS  HYPNOT    SYND  AMNESIQUE
F13.7;TBL  MENT  DUS A SEDATIFS  HYPNOT    TBL  RESIDUEL OU PSYCHOT 
F13.70;FLASHBACKS DUS AUX SÉDATIFS  HYPNOT
F13.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ AUX SÉDATIFS  HYPNOT
F13.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ AUX SÉDATIFS  HYPNOT
F13.73;DÉMENCE DUE AUX SÉDATIFS  HYPNOT
F13.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ AUX SÉDATIFS  HYPNOT
F13.75;TBL PSYCHOT À DÉBUT TARDIF DÛ AUX SÉDATIFS  HYPNOT
F13.8;TBL  MENT  NCA  DUS A SEDATIFS  HYPNOT 
F13.9;TBL  MENT  SAI  DUS A SEDATIFS  HYPNOT 
F14.3;TBL  MENT  DUS A COCAINE   SYND  DE SEVRAGE
F14.30;SYND SEVRAGE COCAÏNE SANS COMPLIC
F14.31;SYND SEVRAGE COCAÏNE +CONVULSIONS
F14.4;TBL  MENT  DUS A COCAINE   SYND  DE SEVR  + DELIRIUM
F14.40;SYND SEVRAGE COCAÏNE +DÉLIRIUM SANS CONVULSION
F14.41;SYND SEVRAGE COCAÏNE +DÉLIRIUM +CONVULSIONS
F14.5;TBL  MENT  DUS A COCAINE   TBL  PSYCHOT 
F14.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ À COCAÏNE
F14.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ À COCAÏNE
F14.52;TBL PSYCHOT +HALLUCINATIONS DÛ À COCAÏNE
F14.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ À COCAÏNE
F14.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ À COCAÏNE
