"",,Liste,Liste,
F02.841,2,597,-,DÉMENCE MOY ASSOCIÉE À AUTR MAL +SYMPT MIXTES
F02.842,2,597,-,DÉMENCE SÉVÈRE ASSOCIÉE À AUTR MAL +SYMPT MIXTES
F03,2,961,-,"DEMENCE, SAI"
F03.+0,2,961,-,DÉMENCE SAI SANS SYMPT SUPPL
F03.+00,2,961,-,DÉMENCE LÉGÈRE SAI SANS SYMPT SUPPL
F03.+01,2,961,-,DÉMENCE MOY SAI SANS SYMPT SUPPL
F03.+02,2,961,-,DÉMENCE SÉVÈRE SAI SANS SYMPT SUPPL
F03.+1,2,961,-,DÉMENCE SAI +SYMPT SURTT DÉLIR
F03.+10,2,961,-,DÉMENCE LÉGÈRE SAI +SYMPT SURTT DÉLIR
F03.+11,2,961,-,DÉMENCE MOY SAI +SYMPT SURTT DÉLIR
F03.+12,2,961,-,DÉMENCE SÉVÈRE SAI +SYMPT SURTT DÉLIR
F03.+2,2,961,-,DÉMENCE SAI +SYMPT SURTT HALLUCIN
F03.+20,2,961,-,DÉMENCE LÉGÈRE SAI +SYMPT SURTT HALLUCIN
F03.+21,2,961,-,DÉMENCE MOY SAI +SYMPT SURTT HALLUCIN
F03.+22,2,961,-,DÉMENCE SÉVÈRE SAI +SYMPT SURTT HALLUCIN
F03.+3,2,961,-,DÉMENCE SAI +SYMPT SURTT DÉPRESSIFS
F03.+30,2,961,-,DÉMENCE LÉGÈRE SAI +SYMPT SURTT DÉPRES
F03.+31,2,961,-,DÉMENCE MOY SAI +SYMPT SURTT DÉPRES
F03.+32,2,961,-,DÉMENCE SÉVÈRE SAI +SYMPT SURTT DÉPRES
F03.+4,2,961,-,DÉMENCE SAI +SYMPT MIXTES
F03.+40,2,961,-,DÉMENCE LÉGÈRE SAI +SYMPT MIXTES
F03.+41,2,961,-,DÉMENCE MOY SAI +SYMPT MIXTES
CMA,niv,"Listediag","Listeracine",Libellé
F03.+42,2,961,-,DÉMENCE SÉVÈRE SAI +SYMPT MIXTES
F04,2,913,-,"SYND. AMNESIQUE ORG., NON DU A ALCOOL ET SUBST. PSYCHO-ACTIVES NCA"
F05.0,3,732,-,"DELIRIUM NON SURAJOUTE A UNE DEMENCE, AINSI DECRIT"
F05.1,3,732,-,DELIRIUM SURAJOUTE A UNE DEMENCE
F05.8,3,732,-,"DELIRIUM, NCA"
F05.9,3,732,-,"DELIRIUM, SAI"
F06.0,2,638,-,ETAT HALLUCINATOIRE ORG.
F06.1,2,638,-,CATATONIE ORG.
F06.2,2,638,-,TBL. DELIRANT ORG.
F06.3,2,638,-,TBL. ORG. DE L'HUMEUR
F06.30,2,638,-,TBL MANIAQUE ORG
F06.31,2,638,-,TBL BIPOLAIRE ORG
F06.32,2,638,-,TBL DÉPRES ORG
F06.33,2,638,-,TBL AFFECTIF MIXTE ORG
F06.4,2,638,-,TBL. ANXIEUX ORG.
F06.5,2,638,-,TBL. DISSOCIATIF ORG.
F06.6,2,638,-,LABILITE EMOTIONNELLE ORG.
F06.7,2,638,-,TBL. COGNITIF LEGER
F06.70,2,638,-,TBL COGNITIF LÉGER NON ASSOCIÉ À 1TBL PHYS
F06.71,2,638,-,TBL COGNITIF LÉGER ASSOCIÉ À 1TBL PHYS
F06.8,2,638,-,"TBL. MENT. PREC. NCA, DUS A LES. CEREB., DYSFCT. CEREB. ET AFF. PHYS."
F06.9,2,638,-,"TBL. MENT. SAI, DU A LES. CEREB., DYSFCT. CEREB., ET AFF. PHYS."
F07.0,3,1030,-,TBL. ORG. DE LA PERSON.
F07.1,3,1030,-,SYND. POST-ENCEPHALITIQUE
F07.8,2,1030,-,"TBL. ORG. DE LA PERSON. NCA, DUS A AFF., LES. ET DYSFCT. CEREB."
F10.03,2,451,-,TBL MENT DUS À ALCOOL : INTOX AIG +DÉLIRIUM
F10.3,2,451,-,TBL. MENT. DUS A ALCOOL : SYND. DE SEVRAGE
F10.30,2,451,-,SYND SEVRAGE ALCOOL SANS COMPLIC
F10.31,2,451,-,SYND SEVRAGE ALCOOL +CONVULSIONS
F10.4,3,750,-,TBL. MENT. DUS A ALCOOL : SYND. DE SEVR. + DELIRIUM
F10.40,3,750,-,SYND SEVRAGE ALCOOL +DÉLIRIUM SANS CONVULSION
F10.41,2,750,-,SYND SEVRAGE ALCOOL +DÉLIRIUM +CONVULSIONS
F10.5,2,750,-,TBL. MENT. DUS A ALCOOL : TBL. PSYCHOT.
F10.50,2,750,-,TBL PSYCHOT ALLURE SCHIZOPHR DÛ À ALCOOL
F10.51,2,750,-,TBL PSYCHOT +IDÉES DÉLIRES DÛ À ALCOOL
F10.52,2,750,-,TBL PSYCHOT +HALLUCINATIONS DÛ À ALCOOL
F10.53,2,750,-,TBL PSYCHOT +SYMPT POLYMORPHES DÛ À ALCOOL
F10.54,2,750,-,TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ À ALCOOL
F10.55,2,750,-,TBL PSYCHOT +SYMPT MANIAQUES DÛ À ALCOOL
F10.56,2,750,-,TBL PSYCHOT MIXTE DÛ À ALCOOL
F10.6,3,750,-,TBL. MENT. DUS A ALCOOL : SYND. AMNESIQUE
F10.7,3,750,-,TBL. MENT. DUS A ALCOOL : TBL. RESIDUEL OU PSYCHOT.
"",niv,"Listediag","Listeracine",Libellé
F03.+42,2,961,-,DÉMENCE SÉVÈRE SAI +SYMPT MIXTES
F04,2,913,-,"SYND. AMNESIQUE ORG., NON DU A ALCOOL ET SUBST. PSYCHO-ACTIVES NCA"
F05.0,3,732,-,"DELIRIUM NON SURAJOUTE A UNE DEMENCE, AINSI DECRIT"
F05.1,3,732,-,DELIRIUM SURAJOUTE A UNE DEMENCE
F05.8,3,732,-,"DELIRIUM, NCA"
F05.9,3,732,-,"DELIRIUM, SAI"
F06.0,2,638,-,ETAT HALLUCINATOIRE ORG.
F06.1,2,638,-,CATATONIE ORG.
F06.2,2,638,-,TBL. DELIRANT ORG.
F06.3,2,638,-,TBL. ORG. DE L'HUMEUR
F06.30,2,638,-,TBL MANIAQUE ORG
F06.31,2,638,-,TBL BIPOLAIRE ORG
F06.32,2,638,-,TBL DÉPRES ORG
F06.33,2,638,-,TBL AFFECTIF MIXTE ORG
F06.4,2,638,-,TBL. ANXIEUX ORG.
F06.5,2,638,-,TBL. DISSOCIATIF ORG.
F06.6,2,638,-,LABILITE EMOTIONNELLE ORG.
F06.7,2,638,-,TBL. COGNITIF LEGER
F06.70,2,638,-,TBL COGNITIF LÉGER NON ASSOCIÉ À 1TBL PHYS
F06.71,2,638,-,TBL COGNITIF LÉGER ASSOCIÉ À 1TBL PHYS
F06.8,2,638,-,"TBL. MENT. PREC. NCA, DUS A LES. CEREB., DYSFCT. CEREB. ET AFF. PHYS."
F06.9,2,638,-,"TBL. MENT. SAI, DU A LES. CEREB., DYSFCT. CEREB., ET AFF. PHYS."
F07.0,3,1030,-,TBL. ORG. DE LA PERSON.
F07.1,3,1030,-,SYND. POST-ENCEPHALITIQUE
F07.8,2,1030,-,"TBL. ORG. DE LA PERSON. NCA, DUS A AFF., LES. ET DYSFCT. CEREB."
F10.03,2,451,-,TBL MENT DUS À ALCOOL : INTOX AIG +DÉLIRIUM
F10.3,2,451,-,TBL. MENT. DUS A ALCOOL : SYND. DE SEVRAGE
F10.30,2,451,-,SYND SEVRAGE ALCOOL SANS COMPLIC
F10.31,2,451,-,SYND SEVRAGE ALCOOL +CONVULSIONS
F10.4,3,750,-,TBL. MENT. DUS A ALCOOL : SYND. DE SEVR. + DELIRIUM
F10.40,3,750,-,SYND SEVRAGE ALCOOL +DÉLIRIUM SANS CONVULSION
F10.41,2,750,-,SYND SEVRAGE ALCOOL +DÉLIRIUM +CONVULSIONS
F10.5,2,750,-,TBL. MENT. DUS A ALCOOL : TBL. PSYCHOT.
F10.50,2,750,-,TBL PSYCHOT ALLURE SCHIZOPHR DÛ À ALCOOL
F10.51,2,750,-,TBL PSYCHOT +IDÉES DÉLIRES DÛ À ALCOOL
F10.52,2,750,-,TBL PSYCHOT +HALLUCINATIONS DÛ À ALCOOL
F10.53,2,750,-,TBL PSYCHOT +SYMPT POLYMORPHES DÛ À ALCOOL
F10.54,2,750,-,TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ À ALCOOL
F10.55,2,750,-,TBL PSYCHOT +SYMPT MANIAQUES DÛ À ALCOOL
F10.56,2,750,-,TBL PSYCHOT MIXTE DÛ À ALCOOL
F10.6,3,750,-,TBL. MENT. DUS A ALCOOL : SYND. AMNESIQUE
F10.7,3,750,-,TBL. MENT. DUS A ALCOOL : TBL. RESIDUEL OU PSYCHOT.
F06.31,2,638,-,TBL BIPOLAIRE ORG
F06.32,2,638,-,TBL DÉPRES ORG
F06.33,2,638,-,TBL AFFECTIF MIXTE ORG
F06.4,2,638,-,TBL. ANXIEUX ORG.
F06.5,2,638,-,TBL. DISSOCIATIF ORG.
F06.6,2,638,-,LABILITE EMOTIONNELLE ORG.
F06.7,2,638,-,TBL. COGNITIF LEGER
F06.70,2,638,-,TBL COGNITIF LÉGER NON ASSOCIÉ À 1TBL PHYS
F06.71,2,638,-,TBL COGNITIF LÉGER ASSOCIÉ À 1TBL PHYS
F06.8,2,638,-,"TBL. MENT. PREC. NCA, DUS A LES. CEREB., DYSFCT. CEREB. ET AFF. PHYS."
F06.9,2,638,-,"TBL. MENT. SAI, DU A LES. CEREB., DYSFCT. CEREB., ET AFF. PHYS."
F07.0,3,1030,-,TBL. ORG. DE LA PERSON.
F07.1,3,1030,-,SYND. POST-ENCEPHALITIQUE
F07.8,2,1030,-,"TBL. ORG. DE LA PERSON. NCA, DUS A AFF., LES. ET DYSFCT. CEREB."
F10.03,2,451,-,TBL MENT DUS À ALCOOL : INTOX AIG +DÉLIRIUM
F10.3,2,451,-,TBL. MENT. DUS A ALCOOL : SYND. DE SEVRAGE
F10.30,2,451,-,SYND SEVRAGE ALCOOL SANS COMPLIC
F10.31,2,451,-,SYND SEVRAGE ALCOOL +CONVULSIONS
F10.4,3,750,-,TBL. MENT. DUS A ALCOOL : SYND. DE SEVR. + DELIRIUM
F10.40,3,750,-,SYND SEVRAGE ALCOOL +DÉLIRIUM SANS CONVULSION
F10.41,2,750,-,SYND SEVRAGE ALCOOL +DÉLIRIUM +CONVULSIONS
F10.5,2,750,-,TBL. MENT. DUS A ALCOOL : TBL. PSYCHOT.
F10.50,2,750,-,TBL PSYCHOT ALLURE SCHIZOPHR DÛ À ALCOOL
F10.51,2,750,-,TBL PSYCHOT +IDÉES DÉLIRES DÛ À ALCOOL
F10.52,2,750,-,TBL PSYCHOT +HALLUCINATIONS DÛ À ALCOOL
F10.53,2,750,-,TBL PSYCHOT +SYMPT POLYMORPHES DÛ À ALCOOL
F10.54,2,750,-,TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ À ALCOOL
F10.55,2,750,-,TBL PSYCHOT +SYMPT MANIAQUES DÛ À ALCOOL
F10.56,2,750,-,TBL PSYCHOT MIXTE DÛ À ALCOOL
F10.6,3,750,-,TBL. MENT. DUS A ALCOOL : SYND. AMNESIQUE
F10.7,3,750,-,TBL. MENT. DUS A ALCOOL : TBL. RESIDUEL OU PSYCHOT.
F10.70,3,750,-,FLASHBACKS DUS À ALCOOL
CMA,niv,"Listediag","Listeracine",Libellé
F10.71,3,750,-,TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ À ALCOOL
F10.72,3,750,-,TBL THYMIQUE RÉSIDUEL/TARDIF DÛ À ALCOOL
F10.73,3,750,-,DÉMENCE DUE À ALCOOL
F10.74,3,750,-,AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ À ALCOOL
F10.75,3,750,-,TBL PSYCHOT À DÉBUT TARDIF DÛ À ALCOOL
F11.1,2,57,-,TBL. MENT. DUS A OPIACES : UTIL. NOCIVE
F11.3,2,57,-,TBL. MENT. DUS A OPIACES : SYND. DE SEVRAGE
F11.30,2,57,-,SYND SEVRAGE DES OPIACÉS SANS COMPLIC
F11.31,2,57,-,SYND SEVRAGE DES OPIACÉS +CONVULSIONS
F11.4,2,57,-,TBL. MENT. DUS A OPIACES : SYND. DE SEVR. + DELIRIUM
F11.40,2,57,-,SYND SEVRAGE DES OPIACÉS +DÉLIRIUM SANS CONVULSION
F11.41,2,57,-,SYND SEVRAGE DES OPIACÉS +DÉLIRIUM +CONVULSIONS
F11.5,2,57,-,TBL. MENT. DUS A OPIACES : TBL. PSYCHOT.
F11.50,2,57,-,TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX OPIACÉS
F11.51,2,57,-,TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX OPIACÉS
F11.52,2,57,-,TBL PSYCHOT +HALLUCINATIONS DÛ AUX OPIACÉS
F11.53,2,57,-,TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX OPIACÉS
F11.54,2,57,-,TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX OPIACÉS
F11.55,2,57,-,TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX OPIACÉS
F11.56,2,57,-,TBL PSYCHOT MIXTE DÛ AUX OPIACÉS
F11.6,2,57,-,TBL. MENT. DUS A OPIACES : SYND. AMNESIQUE
F11.7,2,57,-,TBL. MENT. DUS A OPIACES : TBL. RESIDUEL OU PSYCHOT.
F11.70,2,57,-,FLASHBACKS DUS AUX OPIACÉS
F11.71,2,57,-,TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ AUX OPIACÉS
F11.72,2,57,-,TBL THYMIQUE RÉSIDUEL/TARDIF DÛ AUX OPIACÉS
F11.73,2,57,-,DÉMENCE DUE AUX OPIACÉS
F11.74,2,57,-,AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ AUX OPIACÉS
F11.75,2,57,-,TBL PSYCHOT À DÉBUT TARDIF DÛ AUX OPIACÉS
F11.8,2,57,-,"TBL. MENT. NCA, DUS A OPIACES"
F13.3,3,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. DE SEVRAGE"
F13.30,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT SANS COMPLIC"
F13.31,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +CONVULSIONS"
F13.4,3,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. DE SEVR. + DELIRIUM"
F13.40,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +DÉLIRIUM SANS CONVULSION"
F13.41,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +DÉLIRIUM +CONVULSIONS"
F13.5,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : TBL. PSYCHOT."
F13.50,2,536,-,"TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX SÉDATIFS, HYPNOT"
F13.51,2,536,-,"TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX SÉDATIFS, HYPNOT"
F13.52,2,536,-,"TBL PSYCHOT +HALLUCINATIONS DÛ AUX SÉDATIFS, HYPNOT"
F13.53,2,536,-,"TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX SÉDATIFS, HYPNOT"
F13.54,2,536,-,"TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX SÉDATIFS, HYPNOT"
F13.55,2,536,-,"TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX SÉDATIFS, HYPNOT"
"",niv,"Listediag","Listeracine",Libellé
F10.71,3,750,-,TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ À ALCOOL
F10.72,3,750,-,TBL THYMIQUE RÉSIDUEL/TARDIF DÛ À ALCOOL
F10.73,3,750,-,DÉMENCE DUE À ALCOOL
F10.74,3,750,-,AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ À ALCOOL
F10.75,3,750,-,TBL PSYCHOT À DÉBUT TARDIF DÛ À ALCOOL
F11.1,2,57,-,TBL. MENT. DUS A OPIACES : UTIL. NOCIVE
F11.3,2,57,-,TBL. MENT. DUS A OPIACES : SYND. DE SEVRAGE
F11.30,2,57,-,SYND SEVRAGE DES OPIACÉS SANS COMPLIC
F11.31,2,57,-,SYND SEVRAGE DES OPIACÉS +CONVULSIONS
F11.4,2,57,-,TBL. MENT. DUS A OPIACES : SYND. DE SEVR. + DELIRIUM
F11.40,2,57,-,SYND SEVRAGE DES OPIACÉS +DÉLIRIUM SANS CONVULSION
F11.41,2,57,-,SYND SEVRAGE DES OPIACÉS +DÉLIRIUM +CONVULSIONS
F11.5,2,57,-,TBL. MENT. DUS A OPIACES : TBL. PSYCHOT.
F11.50,2,57,-,TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX OPIACÉS
F11.51,2,57,-,TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX OPIACÉS
F11.52,2,57,-,TBL PSYCHOT +HALLUCINATIONS DÛ AUX OPIACÉS
F11.53,2,57,-,TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX OPIACÉS
F11.54,2,57,-,TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX OPIACÉS
F11.55,2,57,-,TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX OPIACÉS
F11.56,2,57,-,TBL PSYCHOT MIXTE DÛ AUX OPIACÉS
F11.6,2,57,-,TBL. MENT. DUS A OPIACES : SYND. AMNESIQUE
F11.7,2,57,-,TBL. MENT. DUS A OPIACES : TBL. RESIDUEL OU PSYCHOT.
F11.70,2,57,-,FLASHBACKS DUS AUX OPIACÉS
F11.71,2,57,-,TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ AUX OPIACÉS
F11.72,2,57,-,TBL THYMIQUE RÉSIDUEL/TARDIF DÛ AUX OPIACÉS
F11.73,2,57,-,DÉMENCE DUE AUX OPIACÉS
F11.74,2,57,-,AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ AUX OPIACÉS
F11.75,2,57,-,TBL PSYCHOT À DÉBUT TARDIF DÛ AUX OPIACÉS
F11.8,2,57,-,"TBL. MENT. NCA, DUS A OPIACES"
F13.3,3,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. DE SEVRAGE"
F13.30,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT SANS COMPLIC"
F13.31,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +CONVULSIONS"
F13.4,3,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. DE SEVR. + DELIRIUM"
F13.40,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +DÉLIRIUM SANS CONVULSION"
F13.41,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +DÉLIRIUM +CONVULSIONS"
F13.5,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : TBL. PSYCHOT."
F13.50,2,536,-,"TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX SÉDATIFS, HYPNOT"
F13.51,2,536,-,"TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX SÉDATIFS, HYPNOT"
F13.52,2,536,-,"TBL PSYCHOT +HALLUCINATIONS DÛ AUX SÉDATIFS, HYPNOT"
F13.53,2,536,-,"TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX SÉDATIFS, HYPNOT"
F13.54,2,536,-,"TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX SÉDATIFS, HYPNOT"
F13.55,2,536,-,"TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX SÉDATIFS, HYPNOT"
F11.41,2,57,-,SYND SEVRAGE DES OPIACÉS +DÉLIRIUM +CONVULSIONS
F11.5,2,57,-,TBL. MENT. DUS A OPIACES : TBL. PSYCHOT.
F11.50,2,57,-,TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX OPIACÉS
F11.51,2,57,-,TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX OPIACÉS
F11.52,2,57,-,TBL PSYCHOT +HALLUCINATIONS DÛ AUX OPIACÉS
F11.53,2,57,-,TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX OPIACÉS
F11.54,2,57,-,TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX OPIACÉS
F11.55,2,57,-,TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX OPIACÉS
F11.56,2,57,-,TBL PSYCHOT MIXTE DÛ AUX OPIACÉS
F11.6,2,57,-,TBL. MENT. DUS A OPIACES : SYND. AMNESIQUE
F11.7,2,57,-,TBL. MENT. DUS A OPIACES : TBL. RESIDUEL OU PSYCHOT.
F11.70,2,57,-,FLASHBACKS DUS AUX OPIACÉS
F11.71,2,57,-,TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ AUX OPIACÉS
F11.72,2,57,-,TBL THYMIQUE RÉSIDUEL/TARDIF DÛ AUX OPIACÉS
F11.73,2,57,-,DÉMENCE DUE AUX OPIACÉS
F11.74,2,57,-,AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ AUX OPIACÉS
F11.75,2,57,-,TBL PSYCHOT À DÉBUT TARDIF DÛ AUX OPIACÉS
F11.8,2,57,-,"TBL. MENT. NCA, DUS A OPIACES"
F13.3,3,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. DE SEVRAGE"
F13.30,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT SANS COMPLIC"
F13.31,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +CONVULSIONS"
F13.4,3,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. DE SEVR. + DELIRIUM"
F13.40,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +DÉLIRIUM SANS CONVULSION"
F13.41,3,536,-,"SYND SEVRAGE DES SÉDATIFS, HYPNOT +DÉLIRIUM +CONVULSIONS"
F13.5,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : TBL. PSYCHOT."
F13.50,2,536,-,"TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX SÉDATIFS, HYPNOT"
F13.51,2,536,-,"TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX SÉDATIFS, HYPNOT"
F13.52,2,536,-,"TBL PSYCHOT +HALLUCINATIONS DÛ AUX SÉDATIFS, HYPNOT"
F13.53,2,536,-,"TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX SÉDATIFS, HYPNOT"
F13.54,2,536,-,"TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX SÉDATIFS, HYPNOT"
F13.55,2,536,-,"TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX SÉDATIFS, HYPNOT"
F13.56,2,536,-,"TBL PSYCHOT MIXTE DÛ AUX SÉDATIFS, HYPNOT"
CMA,niv,"Listediag","Listeracine",Libellé
F13.6,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. AMNESIQUE"
F13.7,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : TBL. RESIDUEL OU PSYCHOT."
F13.70,2,536,-,"FLASHBACKS DUS AUX SÉDATIFS, HYPNOT"
F13.71,2,536,-,"TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F13.72,2,536,-,"TBL THYMIQUE RÉSIDUEL/TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F13.73,2,536,-,"DÉMENCE DUE AUX SÉDATIFS, HYPNOT"
F13.74,2,536,-,"AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F13.75,2,536,-,"TBL PSYCHOT À DÉBUT TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F20.0,2,260,-,SCHIZOPHRENIE PARANOIDE
F20.00,2,260,-,SCHIZO PARANOÏDE CONTINUE
F20.01,2,260,-,SCHIZO PARANOÏDE +DÉFIC PROGR
F20.02,2,260,-,SCHIZO PARANOÏDE +DÉFIC STABLE
F20.03,2,260,-,SCHIZO PARANOÏDE RÉMITTENTE
F20.04,2,260,-,SCHIZO PARANOÏDE RÉMISSION INCOMPLÈTE
F20.05,2,260,-,SCHIZO PARANOÏDE RÉMISSION CPLT
F20.08,2,260,-,SCHIZO PARANOÏDE AUTRE ÉVOL
F20.09,2,260,-,SCHIZO PARANOÏDE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP BRÈVE
F20.1,2,260,-,SCHIZOPHRENIE HEBEPHRENIQUE
F20.10,2,260,-,SCHIZO HÉBÉPHRÉNIQUE CONTINUE
F20.11,2,260,-,SCHIZO HÉBÉPHRÉNIQUE +DÉFIC PROGR
F20.12,2,260,-,SCHIZO HÉBÉPHRÉNIQUE +DÉFIC STABLE
F20.13,2,260,-,SCHIZO HÉBÉPHRÉNIQUE RÉMITTENTE
F20.14,2,260,-,SCHIZO HÉBÉPHRÉNIQUE RÉMISSION INCOMPLÈTE
F20.15,2,260,-,SCHIZO HÉBÉPHRÉNIQUE RÉMISSION CPLT
F20.18,2,260,-,SCHIZO HÉBÉPHRÉNIQUE AUTRE ÉVOL
F20.19,2,260,-,SCHIZO HÉBÉPHRÉNIQUE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP BRÈVE
F20.2,2,385,-,SCHIZOPHRENIE CATATONIQUE
F20.20,2,385,-,SCHIZO CATATONIQUE CONTINUE
F20.21,2,385,-,SCHIZO CATATONIQUE +DÉFIC PROGR
F20.22,2,385,-,SCHIZO CATATONIQUE +DÉFIC STABLE
F20.23,2,385,-,SCHIZO CATATONIQUE RÉMITTENTE
F20.24,2,385,-,SCHIZO CATATONIQUE RÉMISSION INCOMPLÈTE
F20.25,2,385,-,SCHIZO CATATONIQUE RÉMISSION CPLT
F20.28,2,385,-,SCHIZO CATATONIQUE AUTRE ÉVOL
F20.29,2,385,-,SCHIZO CATATONIQUE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP BRÈVE
F20.3,2,260,-,SCHIZOPHRENIE INDIFFERENCIEE
F20.30,2,260,-,SCHIZO INDIFFÉRENCIÉE CONTINUE
F20.31,2,260,-,SCHIZO INDIFFÉRENCIÉE +DÉFIC PROGR
F20.32,2,260,-,SCHIZO INDIFFÉRENCIÉE +DÉFIC STABLE
F20.33,2,260,-,SCHIZO INDIFFÉRENCIÉE RÉMITTENTE
F20.34,2,260,-,SCHIZO INDIFFÉRENCIÉE RÉMISSION INCOMPLÈTE
F20.35,2,260,-,SCHIZO INDIFFÉRENCIÉE RÉMISSION CPLT
"",niv,"Listediag","Listeracine",Libellé
F13.6,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : SYND. AMNESIQUE"
F13.7,2,536,-,"TBL. MENT. DUS A SEDATIFS, HYPNOT. : TBL. RESIDUEL OU PSYCHOT."
F13.70,2,536,-,"FLASHBACKS DUS AUX SÉDATIFS, HYPNOT"
F13.71,2,536,-,"TBL PERSO/COMPORT RÉSIDUEL/TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F13.72,2,536,-,"TBL THYMIQUE RÉSIDUEL/TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F13.73,2,536,-,"DÉMENCE DUE AUX SÉDATIFS, HYPNOT"
F13.74,2,536,-,"AUTRE DÉFIC COGNITIF PERSISTANT/TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F13.75,2,536,-,"TBL PSYCHOT À DÉBUT TARDIF DÛ AUX SÉDATIFS, HYPNOT"
F20.0,2,260,-,SCHIZOPHRENIE PARANOIDE
F20.00,2,260,-,SCHIZO PARANOÏDE CONTINUE
F20.01,2,260,-,SCHIZO PARANOÏDE +DÉFIC PROGR
F20.02,2,260,-,SCHIZO PARANOÏDE +DÉFIC STABLE
