"",,Liste,Liste,
A15.0,4,287,-,"TUBERC. PULM., CONFIRM. PAR EX. MICRO. DE L'EXPECTORATION"
A15.1,2,287,-,"TUBERC. PULM., CONFIRM. PAR CULTURE SEULEMENT"
A15.2,2,287,-,"TUBERC. PULM., AVEC CONFIRM. HISTO."
A15.3,2,287,-,"TUBERC. PULM., AVEC CONFIRM., MOYEN SAI"
A15.4,2,287,-,"TUBERC. DES GGL. INTRATHOR., AVEC CONFIRM."
A15.5,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES, AVEC CONFIRM."
A15.6,2,287,-,"PLEURESIE TUBERC., AVEC CONFIRM."
A15.7,2,287,-,"PRIMO-INFECT. TUBERC. DE L'APP. RESP., AVEC CONFIRM."
A15.8,2,287,-,"TUBERC. DE L'APP. RESP. NCA, AVEC CONFIRM."
A15.9,2,287,-,"TUBERC. DE L'APP. RESP. SAI, AVEC CONFIRM."
A16.0,2,287,-,"TUBERC. PULM., AVEC EX. BACTERIO. ET HISTO. NEGATIFS"
A16.1,2,287,-,"TUBERC. PULM., SANS EX. BACTERIO. ET HISTO."
A16.2,2,287,-,TUBERC. PULM.
A16.3,2,287,-,TUBERC. DES GGL. INTRATHOR.
A16.4,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES"
A16.5,2,287,-,PLEURESIE TUBERC.
A16.7,2,287,-,PRIMO-INFECT. TUBERC. DE L'APP. RESP.
A16.8,2,287,-,"TUBERC. DE L'APP. RESP., NCA"
A16.9,2,287,-,TUBERC. DE L'APP. RESP. SAI
A17.0,3,282,-,MENINGITE TUBERC.
A17.1,3,282,-,TUBERCULOME MENINGE
A07.2,2,674,-,CRYPTOSPORIDIOSE
A07.3,2,674,-,INFECT. A ISOSPORA
A07.8,2,674,-,"MAL. INTEST. PREC., A PROTOZOAIRES, NCA"
A07.9,2,674,-,"MAL. INTEST. A PROTOZOAIRES, SAI"
A08.0,2,922,-,ENTERITE A ROTAVIRUS
A08.1,2,922,-,GASTROENTÉROPATHIE AIGÜE DUE À UN NOROVIRUS
A08.2,2,922,-,ENTERITE A ADENOVIRUS
A08.3,2,922,-,"ENTERITES VIRALES, NCA"
A08.5,2,922,-,"INFECT. INTEST. PREC., NCA"
A09.0,2,239,-,GASTROENTERITE COLITE INFECT. NCA/SAI
A15.0,4,287,-,"TUBERC. PULM., CONFIRM. PAR EX. MICRO. DE L'EXPECTORATION"
A15.1,2,287,-,"TUBERC. PULM., CONFIRM. PAR CULTURE SEULEMENT"
A15.2,2,287,-,"TUBERC. PULM., AVEC CONFIRM. HISTO."
A15.3,2,287,-,"TUBERC. PULM., AVEC CONFIRM., MOYEN SAI"
A15.4,2,287,-,"TUBERC. DES GGL. INTRATHOR., AVEC CONFIRM."
A15.5,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES, AVEC CONFIRM."
A15.6,2,287,-,"PLEURESIE TUBERC., AVEC CONFIRM."
A15.7,2,287,-,"PRIMO-INFECT. TUBERC. DE L'APP. RESP., AVEC CONFIRM."
A15.8,2,287,-,"TUBERC. DE L'APP. RESP. NCA, AVEC CONFIRM."
A15.9,2,287,-,"TUBERC. DE L'APP. RESP. SAI, AVEC CONFIRM."
A16.0,2,287,-,"TUBERC. PULM., AVEC EX. BACTERIO. ET HISTO. NEGATIFS"
A16.1,2,287,-,"TUBERC. PULM., SANS EX. BACTERIO. ET HISTO."
A16.2,2,287,-,TUBERC. PULM.
A16.3,2,287,-,TUBERC. DES GGL. INTRATHOR.
A16.4,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES"
A16.5,2,287,-,PLEURESIE TUBERC.
A16.7,2,287,-,PRIMO-INFECT. TUBERC. DE L'APP. RESP.
A16.8,2,287,-,"TUBERC. DE L'APP. RESP., NCA"
A16.9,2,287,-,TUBERC. DE L'APP. RESP. SAI
A17.0,3,282,-,MENINGITE TUBERC.
A17.1,3,282,-,TUBERCULOME MENINGE
A17.8,3,282,-,"TUBERC. DU SYST. NERV., NCA"
CMA,niv,"Listediag","Listeracine",Libellé
A17.9,3,282,-,"TUBERC. DU SYST. NERV., SAI"
A18.0,3,34,-,TUBERC. DES OS ET DES ARTIC.
A18.1,2,612,-,TUBERC. DE L'APP. GEN-URIN.
A18.2,2,141,-,ADENOPATHIE TUBERC. PERIPH.
A18.3,3,720,-,"TUBERC. DE L'INTESTIN, DU PERITOINE ET DES GGL. MESENT."
A18.4,2,549,-,TUBERC. DE LA PEAU ET DU TISSU CELL. /S-CUT.
A18.5,2,180,-,TUBERC. DE L'OEIL
A18.6,2,752,-,TUBERC. DE L'OREILLE
A18.7,2,1026,-,TUBERC. DES SURRENALES
A18.8,2,346,-,TUBERC. D'AUTRES ORG. PREC.
A19.0,4,503,-,"TUBERC. MILIAIRE AIG., LOC. UNIQUE ET PREC."
A19.1,4,503,-,"TUBERC. MILIAIRE AIG., SIEGES MULT."
A19.2,4,503,-,"TUBERC. MILIAIRE AIG., SAI"
A19.8,4,503,-,"TUBERC. MILIAIRES, NCA"
A19.9,4,503,-,"TUBERC. MILIAIRE, SAI"
A20.3,4,829,-,PESTE MENINGEE
A21.7,3,147,-,TULAREMIE GENERALISEE
A22.7,3,418,-,SEPSIS CHARBONNEUX
A24.1,3,418,-,MELIOIDOSE AIG. ET GALOPANTE
A25.0,2,147,-,SPIRILLOSE
A25.1,2,147,-,STREPTOBACILLOSE
A25.9,2,147,-,"FIEVRE CAUSEE PAR MORSURE DE RAT, SAI"
A26.0,2,217,-,ERYSIPELOIDE CUTANEE
A26.7,3,418,-,SEPSIS A ERYSIPELOTHRIX
A26.8,2,147,-,"ERYSIPELOIDE, NCA"
A26.9,2,217,-,"ERYSIPELOIDE, SAI"
A27.0,2,384,-,LEPTOSPIROSE ICTERO-HEMORR.
A27.8,2,147,-,"LEPTOSPIROSE, NCA"
A27.9,2,384,-,"LEPTOSPIROSE, SAI"
A30.0,2,745,-,LEPRE INDETERMINEE
A30.1,2,745,-,LEPRE TUBERCULOIDE
A30.2,2,745,-,LEPRE TUBERCULOIDE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.3,2,745,-,LEPRE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.4,2,745,-,LEPRE LEPROMATEUSE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.5,2,745,-,LEPRE LEPROMATEUSE
A30.8,2,745,-,"LEPRE, NCA"
A30.9,2,745,-,"LEPRE, SAI"
A31.0,3,631,-,INFECT. PULM. A MYCOBACTERIES ATYPIQUES
A31.1,3,1040,-,INFECT. CUTANEE A MYCOBACTERIES ATYPIQUES
A31.8,3,438,-,"INFECT. A MYCOBACTERIES ATYPIQUES, NCA"
A31.9,3,390,-,"INFECT. A MYCOBACTERIES ATYPIQUES, SAI"
A32.0,3,460,-,LISTERIOSE CUTANEE
"",niv,"Listediag","Listeracine",Libellé
A17.9,3,282,-,"TUBERC. DU SYST. NERV., SAI"
A18.0,3,34,-,TUBERC. DES OS ET DES ARTIC.
A18.1,2,612,-,TUBERC. DE L'APP. GEN-URIN.
A18.2,2,141,-,ADENOPATHIE TUBERC. PERIPH.
A18.3,3,720,-,"TUBERC. DE L'INTESTIN, DU PERITOINE ET DES GGL. MESENT."
A18.4,2,549,-,TUBERC. DE LA PEAU ET DU TISSU CELL. /S-CUT.
A18.5,2,180,-,TUBERC. DE L'OEIL
A18.6,2,752,-,TUBERC. DE L'OREILLE
A18.7,2,1026,-,TUBERC. DES SURRENALES
A18.8,2,346,-,TUBERC. D'AUTRES ORG. PREC.
A19.0,4,503,-,"TUBERC. MILIAIRE AIG., LOC. UNIQUE ET PREC."
A19.1,4,503,-,"TUBERC. MILIAIRE AIG., SIEGES MULT."
A19.2,4,503,-,"TUBERC. MILIAIRE AIG., SAI"
A19.8,4,503,-,"TUBERC. MILIAIRES, NCA"
A19.9,4,503,-,"TUBERC. MILIAIRE, SAI"
A20.3,4,829,-,PESTE MENINGEE
A21.7,3,147,-,TULAREMIE GENERALISEE
A22.7,3,418,-,SEPSIS CHARBONNEUX
A24.1,3,418,-,MELIOIDOSE AIG. ET GALOPANTE
A25.0,2,147,-,SPIRILLOSE
A25.1,2,147,-,STREPTOBACILLOSE
A25.9,2,147,-,"FIEVRE CAUSEE PAR MORSURE DE RAT, SAI"
A26.0,2,217,-,ERYSIPELOIDE CUTANEE
A26.7,3,418,-,SEPSIS A ERYSIPELOTHRIX
A26.8,2,147,-,"ERYSIPELOIDE, NCA"
A26.9,2,217,-,"ERYSIPELOIDE, SAI"
A27.0,2,384,-,LEPTOSPIROSE ICTERO-HEMORR.
A27.8,2,147,-,"LEPTOSPIROSE, NCA"
A27.9,2,384,-,"LEPTOSPIROSE, SAI"
A30.0,2,745,-,LEPRE INDETERMINEE
A30.1,2,745,-,LEPRE TUBERCULOIDE
A30.2,2,745,-,LEPRE TUBERCULOIDE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.3,2,745,-,LEPRE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.4,2,745,-,LEPRE LEPROMATEUSE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.5,2,745,-,LEPRE LEPROMATEUSE
A30.8,2,745,-,"LEPRE, NCA"
A30.9,2,745,-,"LEPRE, SAI"
A31.0,3,631,-,INFECT. PULM. A MYCOBACTERIES ATYPIQUES
A31.1,3,1040,-,INFECT. CUTANEE A MYCOBACTERIES ATYPIQUES
A31.8,3,438,-,"INFECT. A MYCOBACTERIES ATYPIQUES, NCA"
A31.9,3,390,-,"INFECT. A MYCOBACTERIES ATYPIQUES, SAI"
A32.0,3,460,-,LISTERIOSE CUTANEE
A19.1,4,503,-,"TUBERC. MILIAIRE AIG., SIEGES MULT."
A19.2,4,503,-,"TUBERC. MILIAIRE AIG., SAI"
A19.8,4,503,-,"TUBERC. MILIAIRES, NCA"
