CMD;Liste;Libellé liste;Code;Libellé code
01;D-0105;Infections du système nerveux sauf méningites virales;A84.0;Encéphalite de la taïga [encéphalite verno estivale russe]
01;D-0105;Infections du système nerveux sauf méningites virales;A84.1;Encéphalite d Europe centrale transmise par des tiques
01;D-0105;Infections du système nerveux sauf méningites virales;A84.8;Autres encéphalites virales transmises par des tiques
01;D-0105;Infections du système nerveux sauf méningites virales;A84.9;Encéphalite virale transmise par des tiques  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;A85.0;Encéphalite à entérovirus (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;A85.1;Encéphalite à adénovirus (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;A85.2;Encéphalite virale transmise par des arthropodes  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;A85.8;Autres encéphalites virales précisées
01;D-0105;Infections du système nerveux sauf méningites virales;A86;Encéphalite virale  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;A92.2;Fièvre équine vénézuélienne
01;D-0105;Infections du système nerveux sauf méningites virales;B00.4;Encéphalite due au virus de l herpès (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B01.1;Encéphalite varicelleuse (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B02.0;Encéphalite zostérienne (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B02.2;Zona accompagné d autres manifestations neurologiques
01;D-0105;Infections du système nerveux sauf méningites virales;B05.0;Rougeole compliquée d une encéphalite (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B26.2;Encéphalite ourlienne (G05 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B37.5;Méningite à Candida (G02 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B38.4;Méningite à coccidioïdomycose (G02 1*)
01;D-0105;Infections du système nerveux sauf méningites virales;B43.1;Abcès phaeohyphomycosique du cerveau
01;D-0105;Infections du système nerveux sauf méningites virales;B45.1;Cryptococcose cérébrale
01;D-0105;Infections du système nerveux sauf méningites virales;B50.0;Paludisme à Plasmodium falciparum avec complications cérébrales
01;D-0105;Infections du système nerveux sauf méningites virales;B58.2;Méningo encéphalite à Toxoplasma (G05 2*)
01;D-0105;Infections du système nerveux sauf méningites virales;B60.2;Naegleriase
01;D-0105;Infections du système nerveux sauf méningites virales;B69.0;Cysticercose du système nerveux central
01;D-0105;Infections du système nerveux sauf méningites virales;B83.2;Angiostrongyloïdose à Parastrongylus cantonensis
01;D-0105;Infections du système nerveux sauf méningites virales;G00.0;Méningite à Haemophilus
01;D-0105;Infections du système nerveux sauf méningites virales;G00.1;Méningite à pneumocoques
01;D-0105;Infections du système nerveux sauf méningites virales;G00.2;Méningite à streptocoques
01;D-0105;Infections du système nerveux sauf méningites virales;G00.3;Méningite à staphylocoques
01;D-0105;Infections du système nerveux sauf méningites virales;G00.8;Autres méningites bactériennes
01;D-0105;Infections du système nerveux sauf méningites virales;G00.9;Méningite bactérienne  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;G01;Méningite au cours d affections bactériennes classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G02.1;Méningite au cours de mycoses classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G02.8;Méningite au cours d autres maladies infectieuses et parasitaires précisées classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G03.1;Méningite chronique
01;D-0105;Infections du système nerveux sauf méningites virales;G03.2;Méningite récurrente bénigne [Mollaret]
01;D-0105;Infections du système nerveux sauf méningites virales;G03.8;Méningite due à d autres causes précisées
01;D-0105;Infections du système nerveux sauf méningites virales;G04.0;Encéphalite aiguë disséminée
01;D-0105;Infections du système nerveux sauf méningites virales;G04.1;Myélopathies associées au virus HTLV 1
01;D-0105;Infections du système nerveux sauf méningites virales;G04.2;Méningo encéphalite et méningomyélite bactériennes  non classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G04.8;Autres encéphalites  myélites et encéphalomyélites
01;D-0105;Infections du système nerveux sauf méningites virales;G04.9;Encéphalite  myélite et encéphalomyélite  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;G05.0;Encéphalite  myélite et encéphalomyélite au cours d infections bactériennes classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G05.1;Encéphalite  myélite et encéphalomyélite au cours d infections virales classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G05.2;Encéphalite  myélite et encéphalomyélite au cours d autres maladies infectieuses et parasitaires classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G05.8;Encéphalite  myélite et encéphalomyélite au cours d autres affections classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G06.0;Abcès et granulome intracrâniens
01;D-0105;Infections du système nerveux sauf méningites virales;G06.1;Abcès et granulome intrarachidiens
01;D-0105;Infections du système nerveux sauf méningites virales;G06.2;Abcès extra dural et sous dural  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;G07;Abcès et granulome intracrâniens et intrarachidiens au cours d affections classées ailleurs
01;D-0105;Infections du système nerveux sauf méningites virales;G61.0;Syndrome de Guillain Barré
